dilution_id,28504,28505,28506,28507,28508,28509,28510,28511,28512,28513,28514,28515,28516
dilution_name,12,9,1,5,11,2,4,3,8,10,7,6,Blank 
Group,RC-MV,RC-cell,GC-cell,GC-MV,RC-MV,GC-cell,GC-MV,GC-cell,RC-cell,RC-MV,RC-cell,GC-MV,
Treatment,RC,RC,GC,GC,RC,GC,GC,GC,RC,RC,RC,GC,
rno-miR-146a-5p,29.48493526,29.06122123,28.86483616,30.66531898,30.66393645,29.05946449,30.61504325,28.81376625,28.92636518,29.07985064,28.77062046,29.71567713,ND
rno-miR-146b-5p,31.55662004,30.49041926,30.74224195,32.48571536,33.04560773,30.80921489,33.12057335,30.61248418,30.31033727,31.05401376,30.25319388,31.53875375,ND
rno-miR-147,35.19565726,34.12121713,ND,ND,ND,36.00684921,ND,35.08950423,33.94146206,35.78467188,34.7775311,ND,ND
rno-miR-148b-3p,30.47275663,30.21335385,30.25484162,31.07231369,31.94344153,30.07818235,30.98526052,29.71450441,29.58187267,29.91958334,30.0560412,30.02183024,ND
rno-miR-148b-5p,34.97666145,35.59500228,34.78355085,37.06203272,37.40579407,34.96255174,35.61112223,34.87438709,34.51255668,34.6998841,34.53420775,36.21302143,ND
rno-miR-150-5p,31.55029397,33.90069119,33.82225243,30.52109911,31.80229049,35.05426784,30.82477938,33.80724615,33.34094869,30.84177231,33.63841626,30.57510439,ND
rno-miR-151-3p,31.98604556,31.38162666,31.34795166,32.51575981,31.78798642,31.70431965,32.5072945,30.96295544,30.97757526,30.8061735,30.93570371,31.76616176,ND
rno-miR-151-5p,29.06421033,28.77754477,28.80641423,29.77232792,30.05515186,29.033505,29.93885748,28.71406837,28.6718792,28.61417772,28.92428489,29.08944645,ND
rno-miR-152-3p,25.63718514,25.45677924,25.64816386,26.48219979,27.25370391,25.66783449,26.33841735,25.55660748,25.25040072,25.18264446,25.29537834,25.55879144,ND
rno-miR-154-5p,28.47260352,27.81577461,28.62113405,29.95020192,29.13637432,28.76862901,29.94669735,28.58436441,27.81409867,27.90275687,27.8858948,29.32405733,ND
rno-miR-15b-5p,30.22721038,28.44399952,30.00230249,31.17580163,31.76324652,29.8888596,31.58296718,29.12574614,28.61674512,29.52551585,29.48935579,30.51533869,ND
rno-miR-16-5p,24.70181086,23.78955404,23.65679293,25.24484831,26.01850732,23.85867826,25.34533553,23.63844866,23.71138827,24.06362973,23.57899856,24.60364805,ND
rno-miR-17-1-3p,32.38032298,31.95439506,32.21537204,34.6982229,35.04427746,32.88546465,34.05403946,31.59938336,31.04815711,32.28769524,31.19433632,34.24443558,ND
rno-miR-17-5p,39.03805564,36.47864812,35.5063064,37.727984,37.12020462,35.0817116,36.29474703,35.75318294,35.93445041,34.76674456,36.46597991,36.43717458,ND
rno-miR-181a-5p,28.2347692,27.20382837,28.25383856,29.70370343,29.54085408,28.36678964,29.97836158,27.98035422,27.24221333,27.82727728,27.70953888,28.91078101,ND
rno-miR-181b-5p,31.26036784,29.76865276,30.83600006,33.61942163,31.9190802,31.2696477,33.0884734,30.45875163,29.39092028,30.52941228,30.12864787,31.79897102,ND
rno-miR-181c-5p,35.71244946,36.19323639,35.73139061,37.0825054,ND,36.24158902,37.36542629,36.13026857,36.66280813,36.99550156,36.83133926,35.28756219,ND
rno-miR-181d-5p,ND,35.34022976,34.25623914,35.9831579,ND,34.9056264,ND,36.77662317,35.94137535,37.21794923,35.04468752,ND,ND
rno-miR-182,36.1792333,ND,35.69764295,ND,ND,35.91939133,ND,35.6823662,36.25407773,ND,ND,ND,ND
rno-miR-183-5p,ND,ND,ND,ND,ND,ND,ND,36.76543321,ND,38.56709385,ND,ND,ND
rno-miR-184,ND,ND,ND,ND,ND,38.07681321,ND,ND,ND,ND,38.44129535,ND,ND
rno-miR-185-5p,31.76889895,30.56963465,30.9400597,32.27402939,33.65804994,30.92628019,33.03211119,30.67677805,30.6585044,30.79983263,30.59311636,31.88952652,ND
rno-miR-186-5p,30.36515874,30.88118665,30.98406719,31.86606424,32.08826629,30.90919205,ND,30.26281132,30.77264568,30.42142785,31.13197068,31.21319228,ND
rno-miR-187-3p,ND,37.076296,35.11024204,38.55761809,35.50622214,37.93882896,ND,35.23064923,37.75190556,35.62283924,34.71164795,35.85411029,ND
rno-miR-188-5p,34.34917772,34.68657159,35.60574755,36.04541069,37.98289876,34.47495519,36.11318719,34.11014502,33.55217462,34.88816503,34.30833875,34.75009965,ND
rno-miR-18a-5p,32.07349169,32.52066826,31.81399636,32.91689225,35.33019307,32.23435306,32.66566144,32.0709372,31.63296088,31.90656651,31.97893027,31.62655202,ND
rno-miR-190a-5p,37.10043312,33.35060761,34.8625288,38.87684718,ND,35.28045506,ND,34.08809848,32.98942538,35.08297373,34.0376389,37.43121774,ND
rno-miR-190b-5p,ND,36.68933445,37.3461692,ND,ND,36.78220124,37.62458167,ND,ND,ND,ND,ND,ND
rno-miR-191a-5p,28.61834336,27.66634718,27.67303862,28.93747168,29.06084431,27.80339816,29.11096732,27.71530962,27.80402108,27.74385427,27.7631111,28.50502098,ND
rno-miR-192-5p,32.19610908,33.16813712,32.2580602,33.30738966,36.74770993,32.61604048,33.05416959,31.84474719,32.1078317,32.62547942,32.78444448,32.31841903,ND
rno-miR-193-3p,33.17960378,31.93037914,31.74692578,34.5706606,36.00459025,32.95133982,35.94471717,31.81353388,32.26340298,33.78549072,32.01594063,33.64953447,ND
rno-miR-194-5p,33.60087616,32.73310567,32.71446523,33.21882573,34.56420881,32.55157938,33.81699196,32.19030704,32.24560195,33.2342472,32.53408705,33.53498424,ND
rno-miR-195-5p,32.83350102,31.60528783,31.21441104,33.54152002,36.1184299,31.53165729,33.6028652,30.88455968,31.49171443,33.26070804,31.63410802,32.64158719,ND
rno-miR-196a-5p,37.87186889,34.81406397,36.0796102,36.85893265,ND,35.17174934,ND,36.29186221,35.96847745,ND,34.66627686,37.0867547,ND
rno-miR-196b-5p,34.46455226,33.30653009,33.25408084,36.21238796,35.49574263,33.20926517,35.10925283,33.58634823,35.25151039,33.56815815,34.83644045,35.05531428,ND
rno-miR-199a-3p,24.94734067,24.19756377,24.80285777,26.16300773,26.07431033,24.89097714,26.26691902,24.57901209,24.22308641,24.54838961,24.28358091,25.59159875,ND
rno-miR-199a-5p,25.90330838,24.74471765,25.53507086,27.59098092,27.0854014,25.68445102,27.42861109,25.28131522,24.79749126,25.44143209,24.86768213,26.59597681,36.95890168
rno-miR-19a-3p,29.42599237,28.91438165,29.20483692,30.17140119,31.99917238,29.43014559,29.65415511,29.01146409,28.72265381,28.78291654,28.74700386,29.03586415,ND
rno-miR-19b-3p,28.76034724,27.949927,28.21908641,29.12495661,30.86748408,28.47971831,28.77275645,28.16389214,27.57169751,27.91243339,27.8830121,28.47486505,ND
rno-miR-200b-3p,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,35.83332024,ND
rno-miR-200c-3p,36.26878142,35.7574897,37.08615889,ND,35.51452708,35.21863985,ND,ND,36.41066556,34.80900981,ND,ND,ND
rno-miR-203a-3p,ND,37.1040347,ND,ND,36.81144878,ND,35.76103962,ND,35.11646683,ND,34.92669529,ND,ND
